,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
986,2021-01-27,713.2,713.99,685.69,697.79,631.62,1104500,1104500,-15.41,-2.16,702.6675,"January 27, 21",-0.0216
987,2021-01-26,726.99,733.9,720.04,721.85,653.4,827925,827925,-5.14,-0.70702,725.695,"January 26, 21",-0.0070702
988,2021-01-25,730.82,735.77,713.63,722.98,654.42,806452,806452,-7.84,-1.07,725.8,"January 25, 21",-0.0107
989,2021-01-22,739.9,743.73,730.82,735.05,665.35,565700,565700,-4.85,-0.65549,737.375,"January 22, 21",-0.0065549
990,2021-01-21,744.71,745.77,737.0,742.2,671.82,639600,639600,-2.51,-0.33704,742.42,"January 21, 21",-0.0033704
991,2021-01-20,738.71,742.42,729.15,741.54,671.22,747731,747731,2.83,0.3831,737.955,"January 20, 21",0.003831
992,2021-01-19,737.72,744.42,729.02,733.65,664.08,852400,852400,-4.07,-0.5517,736.2025,"January 19, 21",-0.005517
993,2021-01-15,742.18,754.44,724.0,727.76,658.75,1174500,1174500,-14.42,-1.94,737.095,"January 15, 21",-0.0194
994,2021-01-14,750.0,765.86,739.06,743.5,672.99,1643130,1643130,-6.5,-0.86667,749.605,"January 14, 21",-0.0086667
995,2021-01-13,778.7,788.0,776.61,779.75,705.81,848600,848600,1.05,0.13484,780.765,"January 13, 21",0.0013484
996,2021-01-12,763.51,779.31,763.5,777.74,703.99,675962,675962,14.23,1.86,771.015,"January 12, 21",0.0186
997,2021-01-11,752.82,770.4,750.51,766.68,693.98,614400,614400,13.86,1.84,760.1025,"January 11, 21",0.0184
998,2021-01-08,757.15,759.37,747.42,756.45,684.72,623026,623026,-0.7,-0.09245196,755.0975,"January 08, 21",-0.0009245196
999,2021-01-07,748.34,753.27,743.01,750.42,679.26,656000,656000,2.08,0.27795,748.76,"January 07, 21",0.0027795
1000,2021-01-06,718.76,744.79,716.1,734.96,665.26,730705,730705,16.2,2.25,728.6525,"January 06, 21",0.0225
1001,2021-01-05,708.81,717.21,705.26,714.58,646.82,431450,431450,5.77,0.81404,711.465,"January 05, 21",0.0081404
1002,2021-01-04,730.6,730.6,702.04,710.82,643.41,623613,623613,-19.78,-2.71,718.515,"January 04, 21",-0.0271
1003,2020-12-31,707.48,722.42,706.92,721.54,653.12,361507,361507,14.06,1.99,714.59,"December 31, 20",0.0199
1004,2020-12-30,713.3,716.94,708.0,708.94,641.71,355300,355300,-4.36,-0.61124,711.795,"December 30, 20",-0.0061124
1005,2020-12-29,713.74,715.32,705.61,706.28,639.3,318436,318436,-7.46,-1.05,710.2375,"December 29, 20",-0.0105
1006,2020-12-28,714.59,715.12,709.07,710.18,642.83,272300,272300,-4.41,-0.61714,712.24,"December 28, 20",-0.0061714
1007,2020-12-24,703.36,710.84,703.36,707.18,640.12,173300,173300,3.82,0.54311,706.185,"December 24, 20",0.0054311
1008,2020-12-23,702.0,708.17,696.21,703.64,636.91,752601,752601,1.64,0.23362,702.505,"December 23, 20",0.0023362
1009,2020-12-22,700.0,703.66,691.75,693.52,627.75,596988,596988,-6.48,-0.92571,697.2325,"December 22, 20",-0.0092571
1010,2020-12-21,694.0,703.52,689.17,698.83,632.56,631849,631849,4.83,0.69597,696.38,"December 21, 20",0.0069597
1011,2020-12-18,705.15,706.6,691.5,698.8,632.53,1610738,1610738,-6.35,-0.90052,700.5125,"December 18, 20",-0.0090052
1012,2020-12-17,703.0,709.68,699.29,706.01,639.06,832259,832259,3.01,0.42817,704.495,"December 17, 20",0.0042817
1013,2020-12-16,704.0,708.8,693.55,698.37,632.14,849400,849400,-5.63,-0.79972,701.18,"December 16, 20",-0.0079972
1014,2020-12-15,691.52,704.13,690.33,698.18,631.97,617347,617347,6.66,0.9631,696.04,"December 15, 20",0.009631
1015,2020-12-14,700.53,700.55,683.46,683.92,619.06,658625,658625,-16.61,-2.37,692.115,"December 14, 20",-0.0237
